id;app_id;risk_rating;critical_issues;high_issues;medium_issues;low_issues;informational_issues;issues_in_progress;max_severity;correlation_state;r_r_max_severity;asset_group_id;business_impact;url;description;business_unit;business_unit_id;types;technology;testing_status;app_hosts;collateral_damage_potential;target_distribution;confidentiality_requirement;integrity_requirement;availability_requirement;tester;business_owner;development_contact;preferred_offering_type;asset_group_name;date_created;last_updated;last_comment;created_by;new_issues;open_issues;total_issues;overall_compliance;can_be_deleted;locked_to_subscription;total_scans;n_scan_executions;has_exceeding_issues_number;has_exceeding_scans_number;auto_delete_exceeded_scans
1;breakdown;molding;5671;1908;4008;32115;133;29343;normal;curate;21692;hard-to-find risk blah;till impassioned cogitate;https://far-factory.name/;provoke heavily;phew count monthly;when;buoyant;ladder educated;woot confused;conscript or;hmph upliftingly;spot rubbery;parley;wide-eyed;till step-grandmother an;broken;liaise;seriously;instead;beneath access raiment;2024-02-27T10:29:07;2024-02-27T08:31:04;yippee barrack vestment;athwart;24288;15586;20533;true;false;false;16982;21690;true;false;false
2;regal since;industry harmful;11331;18401;26326;9472;3231;28303;beard saucer;recuperate oval for;23550;so;viciously yahoo notwithstanding;https://runny-derivation.biz;keenly tenderly;funnel since;strengthen woot mid;coaxingly poke keyboard;valiantly likely colorfully;expatiate detonate boo;although unto or;tug pish justly;crayon solemnly tar;infinite inside;ha boohoo;trance quietly;pasteurise alienate;small ack via;sentimental regarding swaddle;yowza theme;phooey unrealistic;2024-02-27T13:48:49;2024-02-27T09:55:03;moral mentor;a near;23565;27062;16293;true;false;false;9101;11750;false;true;true
3;agile circa;cheerfully bother;1231;18083;5001;5519;1598;22534;definite;moist a project;16315;um likewise;inasmuch;https://necessary-ringworm.com/;notwithstanding;upside-down;extremely hmph meanwhile;pickle;apropos unto farm;if meh absent;even;folklore truthfully;perambulate flexibility;except lag offensively;gently analgesia;gosh furthermore;aside;unlike word;pace;phooey bronze;church;2024-02-27T07:24:28;2024-02-26T21:27:26;extinction predict yum;political via limping;5409;6370;8448;true;false;false;20120;11651;false;true;true
4;hence kookily until;silhouette when kick;21497;8221;11823;1325;27282;15266;fast throughout qua;carelessly;25156;negative hm;black-and-white because toward;https://urban-sample.com/;times succor gah;unto broadly angora;shakily though eek;so lawful nutty;familiar;rations;ack gah;pander given;astride;handle;shabby ick;square unless;how wrathful;gracefully;psst windy lost;recollection vibrant flaky;superimpose incidentally;2024-02-26T19:11:42;2024-02-27T02:34:00;constellation dim gosh;gadzooks false relieved;925;4213;30325;false;false;false;12161;13307;false;false;false
5;pare;promptly;12911;18421;11793;27610;2845;10423;sardonic but spry;on growing;22553;elegant uh-huh;unfortunately;https://awful-quotation.net;ick bridle instead;instance off phooey;upon;jumpy;gleefully;except elbow;circa to legal;recklessly boohoo pish;fortify quietly;impolite;huzzah look who;why;fitting associate;what negotiate;blah gadzooks scarify;what madly finally;immediately blunt;2024-02-27T06:48:46;2024-02-26T16:16:19;shave trusty;regarding preside;10168;23608;32659;false;true;true;29237;8941;true;true;false
6;with boo;hardcover zealous;20289;27428;27861;30838;1761;11286;through;wherever;32303;really snowmobiling;although whether uselessly;https://narrow-midline.biz;notwithstanding shush;incidentally tee;nice weave;finally worth;acidic athwart;aha;well-to-do instead establishment;questionably snow yuck;flu instance;girl hm;woot;once;indeed upliftingly consequently;considering justly;unnatural;eek consignment;spend before;2024-02-26T18:43:27;2024-02-27T06:30:51;side whereas columnist;concern breakable pink;22910;16113;9690;true;false;false;14140;12235;false;true;true
7;black wide;an male keenly;11669;1210;5006;29995;24325;14832;glutamate;fooey;2769;downturn incidentally;sweetly fender hovel;https://imaginary-leadership.info/;bicycle so;yowza;moisturise eek reshape;affect following corrupt;balloon;of;overweight gah convection;rubbish;ah aw;enthusiastically mope ugh;upright transgress even;whether bland;gladly;tailgate qua dimly;clerk lightly;carbonize;ew awkwardly;2024-02-27T04:55:33;2024-02-26T17:45:39;hence;zowie;4243;17875;17394;false;true;false;19641;8643;true;false;false
8;enjoy;amid;24842;20913;7683;18386;2815;21314;happy-go-lucky vivaciously punctually;alongside;11298;mention upright certify;phew badger;https://perky-petitioner.org/;cooperative curve ugh;furthermore;bah;colorfully;distorted;with shrimp crossly;sans feed curiously;lovely;punctually atrophy infringe;during tot;password;although;tomorrow;sniveling;brr furthermore conflict;that;magnitude;2024-02-27T09:31:28;2024-02-27T00:11:42;oddly lest;keen yuck sideswipe;6493;29546;8530;true;true;true;26645;2673;true;true;true
9;perky;under puzzling ambience;22609;7167;28091;4295;5945;2792;boo loosely appoint;drat hence;6352;particularize;lone athwart although;https://good-natured-tank-top.org;brr;bookmark and competence;poach wild;impropriety and notice;incorporate letterbox monstrous;unless and;gadzooks;opposite yellowish;sauce;indeed;witness;fact eliminate;nursing approve rave;snooker anenst rick;twine;savory intersperse;usually subject;2024-02-27T03:13:56;2024-02-26T19:32:41;sweatsuit worriedly;aside till;9726;19802;13567;false;false;false;28294;18606;true;false;true
10;meanwhile;yet anenst silently;11006;32320;1379;2880;1193;10743;after rich gust;yawning supposing rigidly;12011;estimate slippery;alarming anenst;https://private-rye.name;surrender steal;ick yahoo toreador;throughout;hmph rise;yuck breed;unlike whoever hatch;boo furthermore;since plight intelligent;absent;past to enormous;why repayment;briefly;reassuringly;mmm decentralise segment;supposing;hide connect tightly;kiddingly;2024-02-26T23:36:02;2024-02-27T06:53:23;whoever;education boohoo;15243;27600;13643;false;true;true;4273;2915;false;false;false
