id;app_id;programming_language;severities;status_issue;issue_type;location_issue;date_created;last_updated;last_found;calling_method;is_new_in_scope;library_name;library_version;sca_technology;f_g_status;application_id;fix_group_id;api_issue;source_issue;context_issue;appscan_vuln_id;calling_line;class_issue;cve_issue
1;waste um;who yak tremendously;strain yowza doubling;clean not;truthful even;normalization;2024-02-27T12:46:23;2024-02-27T01:32:52;2024-02-27T13:50:01;oof lively glue;false;failing until;boohoo clockwork oh;foreshadow;mansard;though but accidentally;bog;woot;um unlike jubilantly;federation brr travel;whoever bashfully;zowie an;second-hand even inasmuch;fatherly aside ick
2;ah;lest;truly;mine shield brown;pleasant tingling;harvester euphoric fatally;2024-02-27T06:42:41;2024-02-27T12:08:34;2024-02-27T06:44:48;whoa joyously;true;plan despite;against anenst virtual;amid;libel present;speaker obedient;sub scud till;wiggly whenever;breakpoint clearly;nor rude;aw entangle sheepishly;sidestep verifiable;lightning aha tomorrow;without pish aha
3;repeat lucky;realistic foray although;ick mmm now;weekly;extremely;provided;2024-02-26T18:42:15;2024-02-26T20:36:46;2024-02-26T17:04:14;whoa kindhearted yearn;false;beyond pish;excepting;ouch phew;after oh;derivative;stravage;amid jealously;steal urgently;so;ouch;nasalise;victimise small;gosh
4;charming confound printer;carry;weakly yum;forget cute but;brave;institutionalize triangle freely;2024-02-27T11:31:14;2024-02-26T23:28:26;2024-02-26T19:28:34;savannah briefly given;true;apprehensive qua;poorly;frankly;eek;ew bumpy zowie;selfishly;lest;underneath eek;athwart atop blackfish;whereas duh;after;joyfully;upbeat feel
5;yum genuine;problem;ha;season;apple;menacing;2024-02-27T05:58:05;2024-02-27T08:01:46;2024-02-27T06:08:16;yuck;true;blurt rust;warmly lending concerning;oh;circa vacate;although fictionalise fidget;frilly;clonk retake;from;similar in;below;woozy dapper;upon;er sore beneath
6;along mysteriously modernist;avoid radiosonde;through late;finally;cozy;greatly;2024-02-26T18:58:16;2024-02-27T13:48:26;2024-02-26T18:31:49;steepen;true;that across;yearningly rasterise lined;ferociously;while;incidentally grouchy footage;encompass awkwardly pfft;consequently;inasmuch;gosh before ugh;phooey quirkily;yet gee noxious;modulo;as till an
7;certainly opposite and;reproachfully posh;devise nearly revoke;icy keenly film;demilitarize;cheerful courageous however;2024-02-27T05:06:55;2024-02-27T10:36:29;2024-02-27T08:58:43;obliterate excluding that;false;hmph till;who downplay;up;popularity why woot;helpfully decimal quirkily;but whoever;confront boohoo yawningly;tune quicker yet;stained tiny;centimeter however voluntarily;idealistic ding brown;wavy;glimpse wear
8;butt spreadsheet;smoothly;editorial company;infest refine;toward;reintroduce hence;2024-02-27T02:18:41;2024-02-27T04:10:16;2024-02-27T04:34:54;given blossom;false;wholly indeed than;meh viciously;usefully chime whenever;amongst;busily;overconfidently till;marry stopsign spare;spiteful tough;bookcase infancy;blah since phony;accidentally;eek;hideous
9;nucleotidase ah below;scroll;progenitor frank;tart;swish suspicious;coast;2024-02-27T13:45:55;2024-02-26T18:05:57;2024-02-26T17:48:58;eicosanoid mean;false;as repeatedly afore;whereas;afore;till upright unto;fast;yet seclude;worried;woot among gold;ew;gentle;who tender;whether;lively almost inasmuch
10;soybean;beyond;whoever benchmark;within;whoa frightfully;carpet amid unabashedly;2024-02-27T06:31:04;2024-02-26T15:43:14;2024-02-27T11:07:13;healthily eek weakly;false;handy;who separately;supposing;until hasty;coordinated shakily vice;implement dog legitimate;lest syndicate brother;aw alongside drat;ascertain finally;deeply furthermore;about acidly;notarise knowledgeably;which
